Continente;cod continente;País;cod pais;UF;cod uf;Via;cod via;data;Chegadas
América do Sul;4;Peru;34;Acre;1;Aéreo;1;2023-11-30;0
Ásia;5;Outros países;56;Outras Unidades da Federação;99;Aéreo;1;2023-06-30;0
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-01-31;12
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-02-28;10
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-03-31;3
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-04-30;7
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-05-31;3
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-06-30;3
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-07-31;1
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-08-31;5
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-09-30;12
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-10-31;12
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-11-30;71
Europa;6;Alemanha;57;Outras Unidades da Federação;99;Aéreo;1;2023-12-31;11
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-01-31;564
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-02-28;474
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-03-31;520
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-04-30;536
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-05-31;387
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-06-30;255
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-07-31;478
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-08-31;377
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-09-30;481
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-10-31;659
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-11-30;513
América do Sul;4;Argentina;26;Outras Unidades da Federação;99;Aéreo;1;2023-12-31;529
Oceania;7;Austrália;90;Outras Unidades da Federação;99;Aéreo;1;2023-04-30;2
Oceania;7;Austrália;90;Outras Unidades da Federação;99;Aéreo;1;2023-11-30;3
Europa;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023-01-31;1
Europa;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023-03-31;4
Europa;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023-08-31;3
Europa;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023-10-31;1
Europa;6;Áustria;58;Outras Unidades da Federação;99;Aéreo;1;2023-12-31;0
