País;total_chegadas;media_chegadas
ALEMANHA;3574;119.13333333333334
BÉLGICA;1191;45.80769230769231
DINAMARCA;484;25.473684210526315
ESLOVÁQUIA;51;3.642857142857143
ESPANHA;2805;96.72413793103448
FINLÂNDIA;68;4.533333333333333
FRANÇA;12916;416.64516129032256
GRÉCIA;156;7.090909090909091
HOLANDA;2278;87.61538461538461
HUNGRIA;108;7.714285714285714
IRLANDA;456;19.82608695652174
ITÁLIA;2746;101.70370370370371
NORUEGA;656;36.44444444444444
POLÔNIA;341;13.64
PORTUGAL;6624;264.96
REINO UNIDO;3141;116.33333333333333
REPÚBLICA TCHECA;89;5.235294117647059
ROMÊNIA;95;4.130434782608695
RÚSSIA;409;17.782608695652176
SUÉCIA;452;22.6
SUÍÇA;2741;101.51851851851852
UCRÂNIA;82;4.315789473684211
ÁUSTRIA;491;24.55
